0.05	1.35208375
0.1	1.39583375
0.15	1.462500625
0.2	1.46145875
0.25	1.43020875
0.3	1.41958375
0.35	1.416666875
0.4	1.397916875
0.45	1.3922623125
0.5	1.39114625
0.55	1.37864625
0.6	1.3750004375
0.65	1.37458375
0.7	1.37458375
0.75	1.37458375
0.8	1.37458375
0.85	1.37458375
0.9	1.37458375
0.95	1.37458375
1	1.37458375
0.05	1.29166625
0.1	1.3333329375
0.15	1.409374375
0.2	1.39916625
0.25	1.396874375
0.3	1.3953565
0.35	1.3901035625
0.4	1.3863089375
0.45	1.383436875
0.5	1.3811861875
0.55	1.379374375
0.6	1.379020375
0.65	1.377884
0.7	1.377884
0.75	1.377884
0.8	1.377884
0.85	1.377884
0.9	1.377884
0.95	1.377884
1	1.377884
0.05	1.34166625
0.1	1.51041625
0.15	1.5770825
0.2	1.656249375
0.25	1.591666625
0.3	1.599166625
0.35	1.550416625
0.4	1.55124975
0.45	1.520416625
0.5	1.513987875
0.55	1.510491
0.6	1.510491
0.65	1.510491
0.7	1.510491
0.75	1.510491
0.8	1.510491
0.85	1.510491
0.9	1.510491
0.95	1.510491
1	1.510491
0.05	1.7433325
0.1	1.809999375
0.15	1.8183325
0.2	1.8233325
0.25	1.826665625
0.3	1.829046875
0.35	1.8308325
0.4	1.83222125
0.45	1.8333325
0.5	1.834241875
0.55	1.834999375
0.6	1.83467875
0.65	1.83564
0.7	1.83564
0.75	1.83564
0.8	1.83564
0.85	1.83564
0.9	1.83564
0.95	1.83564
1	1.83564
0.05	1.160416625
0.1	1.39375
0.15	1.54
0.2	1.5375
0.25	1.53571375
0.3	1.534375
0.35	1.53333375
0.4	1.5325
0.45	1.53181875
0.5	1.53125
0.55	1.52884625
0.6	1.53076875
0.65	1.53076875
0.7	1.53076875
0.75	1.53076875
0.8	1.53076875
0.85	1.53076875
0.9	1.53076875
0.95	1.53076875
1	1.53076875
0.05	0.94166625
0.1	0.989583125
0.15	1.029166875
0.2	1.042708125
0.25	1.043333125
0.3	1.0437495625
0.35	1.0440475
0.4	1.044270625
0.45	1.044444125
0.5	1.044583125
0.55	1.0446970625
0.6	1.0447916875
0.65	1.0448716875
0.7	1.0448716875
0.75	1.0448716875
0.8	1.0448716875
0.85	1.0448716875
0.9	1.0448716875
0.95	1.0448716875
1	1.0448716875
